product_id,seller_id,category_id,product_name,brand,listed_date,original_price,current_price,cost_price,stock_qty,product_status
P0000001,S01565,CAT007,Executive Shoes Item 1,Executive,2022-07-04,272000,229000,166000,682,inactive
P0000002,S02273,CAT009,No Brand Muslim Fashion Item 2,No Brand,2022-01-20,511000,427000,358000,68,active
P0000003,S01033,CAT006,No Brand Men Fashion Item 3,No Brand,2023-10-22,596000,496000,410000,320,active
P0000004,S02082,CAT012,Somethinc Fragrance Item 4,Somethinc,2022-12-25,72000,63000,37000,1188,active
P0000005,S02312,CAT006,Executive Men Fashion Item 5,Executive,2023-03-02,699000,588000,420000,1282,active
P0000006,S01526,CAT015,Oxone Furniture Item 6,Oxone,2024-02-11,3990000,3185000,2578000,1269,active
P0000007,S03566,CAT008,Executive Bags Item 7,Executive,2022-04-03,324000,257000,212000,2443,active
P0000008,S00582,CAT021,Sosro Snacks Item 8,Sosro,2025-08-05,11000,11000,9000,2006,active
P0000009,S02052,CAT012,Somethinc Fragrance Item 9,Somethinc,2025-07-15,589000,525000,341000,1708,active
P0000010,S00159,CAT014,Ace Kitchenware Item 10,Ace,2023-06-26,704000,513000,408000,1615,active
P0000011,S02410,CAT002,Vivo Gadget Accessories Item 11,Vivo,2024-01-26,517000,410000,297000,900,active
P0000012,S01500,CAT007,This Is April Shoes Item 12,This Is April,2024-07-30,1125000,808000,464000,223,active
P0000013,S00933,CAT018,Pigeon Baby Clothes Item 13,Pigeon,2025-02-11,370000,329000,210000,939,active
P0000014,S01887,CAT014,Oxone Kitchenware Item 14,Oxone,2025-12-17,329000,257000,210000,367,active
P0000015,S00828,CAT015,No Brand Furniture Item 15,No Brand,2022-07-29,968000,797000,543000,2236,active
P0000016,S03014,CAT017,Ace Cleaning Tools Item 16,Ace,2023-01-25,140000,138000,81000,1609,active
P0000017,S02297,CAT010,Scarlett Skincare Item 17,Scarlett,2025-03-25,821000,621000,514000,1490,active
P0000018,S03611,CAT023,Sari Roti Household Supplies Item 18,Sari Roti,2025-03-28,36000,26000,20000,563,active
P0000019,S01660,CAT014,No Brand Kitchenware Item 19,No Brand,2024-01-21,203000,153000,127000,32,active
P0000020,S02078,CAT003,Samsung Home Appliances Item 20,Samsung,2024-01-01,1418000,1210000,752000,2394,active
P0000021,S03936,CAT025,Eiger Fitness Item 21,Eiger,2022-06-22,53000,51000,28000,1431,active
P0000022,S02505,CAT011,Emina Makeup Item 22,Emina,2022-03-07,143000,118000,93000,2419,active
P0000023,S00780,CAT021,Indomie Snacks Item 23,Indomie,2025-08-20,16000,15000,8000,1861,active
P0000024,S00580,CAT019,Cussons Diapers Item 24,Cussons,2023-07-29,72000,57000,36000,2135,active
P0000025,S03543,CAT019,Cussons Diapers Item 25,Cussons,2026-02-18,75000,59000,39000,2452,active
P0000026,S00433,CAT002,Logitech Gadget Accessories Item 26,Logitech,2023-11-08,125000,117000,66000,1137,active
P0000027,S01572,CAT022,Sosro Beverages Item 27,Sosro,2022-06-09,10000,10000,5000,1311,active
P0000028,S01462,CAT009,CottonInk Muslim Fashion Item 28,CottonInk,2026-03-26,859000,794000,568000,99,inactive
P0000029,S00163,CAT016,Krisbow Home Decor Item 29,Krisbow,2025-01-13,1254000,1139000,732000,1426,inactive
P0000030,S02780,CAT008,Nevada Bags Item 30,Nevada,2025-11-06,123000,99000,81000,23,active
P0000031,S02603,CAT023,Unilever Household Supplies Item 31,Unilever,2026-03-13,63000,52000,33000,1012,active
P0000032,S00210,CAT006,Nevada Men Fashion Item 32,Nevada,2022-12-14,73000,70000,55000,629,active
P0000033,S00514,CAT006,No Brand Men Fashion Item 33,No Brand,2024-12-25,339000,305000,203000,1397,active
P0000034,S00877,CAT001,Asus Smartphones Item 34,Asus,2025-01-07,8835000,7255000,3779000,2170,inactive
P0000035,S00321,CAT009,LocalMode Muslim Fashion Item 35,LocalMode,2022-09-28,123000,114000,63000,765,active
P0000036,S01247,CAT027,Yamaha Motorcycle Accessories Item 36,Yamaha,2025-04-07,110000,101000,72000,1251,active
P0000037,S01134,CAT021,Indomie Snacks Item 37,Indomie,2023-07-04,53000,41000,27000,961,active
P0000038,S03900,CAT021,Sosro Snacks Item 38,Sosro,2022-03-12,15000,12000,10000,538,active
P0000039,S03128,CAT004,Vivo Computers & Laptops Item 39,Vivo,2023-04-23,4676000,4658000,3498000,1132,active
P0000040,S01576,CAT015,Tupperware Furniture Item 40,Tupperware,2023-01-04,1163000,847000,642000,1786,active
P0000041,S00459,CAT021,Ultra Snacks Item 41,Ultra,2022-02-10,15000,11000,7000,69,active
P0000042,S03837,CAT013,Scarlett Hair Care Item 42,Scarlett,2022-11-13,155000,119000,94000,1052,active
P0000043,S02331,CAT005,This Is April Women Fashion Item 43,This Is April,2026-02-15,125000,108000,90000,1807,active
P0000044,S00137,CAT001,Acer Smartphones Item 44,Acer,2023-11-29,1642000,1201000,890000,1655,active
P0000045,S00698,CAT006,This Is April Men Fashion Item 45,This Is April,2025-05-20,526000,453000,339000,748,active
P0000046,S01008,CAT020,No Brand Baby Food Item 46,No Brand,2025-01-20,130000,107000,71000,2064,active
P0000047,S00503,CAT024,Ultra Fresh Food Item 47,Ultra,2022-04-11,42000,41000,21000,602,active
P0000048,S01861,CAT002,Samsung Gadget Accessories Item 48,Samsung,2023-05-21,280000,251000,206000,1962,active
P0000049,S03827,CAT023,Kapal Api Household Supplies Item 49,Kapal Api,2024-09-07,160000,142000,113000,1770,active
P0000050,S01257,CAT022,ABC Beverages Item 50,ABC,2023-03-08,35000,26000,21000,85,active
P0000051,S00853,CAT031,Rexus Toys Item 51,Rexus,2025-07-26,241000,200000,136000,481,active
P0000052,S00750,CAT012,Emina Fragrance Item 52,Emina,2025-05-25,144000,108000,72000,2223,inactive
P0000053,S03126,CAT010,Avoskin Skincare Item 53,Avoskin,2023-10-07,799000,730000,532000,94,active
P0000054,S00033,CAT011,Skintific Makeup Item 54,Skintific,2024-01-09,285000,205000,121000,1507,active
P0000055,S01086,CAT011,Azarine Makeup Item 55,Azarine,2022-03-07,48000,37000,19000,553,active
P0000056,S03393,CAT016,Krisbow Home Decor Item 56,Krisbow,2024-01-20,542000,406000,327000,1385,active
P0000057,S00521,CAT012,Skintific Fragrance Item 57,Skintific,2024-01-05,78000,68000,51000,903,active
P0000058,S01728,CAT002,Oppo Gadget Accessories Item 58,Oppo,2023-08-07,123000,99000,78000,963,active
P0000059,S03904,CAT013,Scarlett Hair Care Item 59,Scarlett,2024-04-28,275000,225000,142000,659,active
P0000060,S00437,CAT017,IKEA Cleaning Tools Item 60,IKEA,2022-05-11,37000,37000,27000,2427,active
P0000061,S03260,CAT001,Xiaomi Smartphones Item 61,Xiaomi,2022-07-22,20133000,14434000,10607000,2370,active
P0000062,S03748,CAT023,Sosro Household Supplies Item 62,Sosro,2023-09-08,110000,83000,61000,1344,inactive
P0000063,S00459,CAT006,No Brand Men Fashion Item 63,No Brand,2022-12-19,60000,60000,44000,1188,active
P0000064,S02489,CAT022,Kapal Api Beverages Item 64,Kapal Api,2026-01-23,118000,92000,69000,2057,active
P0000065,S02268,CAT018,No Brand Baby Clothes Item 65,No Brand,2025-11-07,103000,80000,47000,94,inactive
P0000066,S01761,CAT014,Tupperware Kitchenware Item 66,Tupperware,2025-07-13,212000,180000,143000,381,active
P0000067,S00832,CAT008,CottonInk Bags Item 67,CottonInk,2023-03-01,1071000,849000,668000,1192,active
P0000068,S01119,CAT010,Scarlett Skincare Item 68,Scarlett,2025-05-17,355000,258000,162000,93,active
P0000069,S00244,CAT019,No Brand Diapers Item 69,No Brand,2024-04-29,136000,121000,81000,1430,active
P0000070,S01158,CAT006,Nevada Men Fashion Item 70,Nevada,2022-07-07,613000,488000,266000,1962,active
P0000071,S02926,CAT021,Sari Roti Snacks Item 71,Sari Roti,2023-03-10,142000,133000,94000,2316,active
P0000072,S02243,CAT014,IKEA Kitchenware Item 72,IKEA,2022-05-11,1394000,1145000,642000,589,active
P0000073,S01047,CAT013,Emina Hair Care Item 73,Emina,2022-10-04,46000,36000,29000,1244,active
