refund_id,order_item_id,refund_datetime,refund_reason,refund_amount,refund_status
RFD00000001,OI000000015,2025-08-10 19:05:11,late_delivery,583940,approved
RFD00000002,OI000000016,2025-08-06 19:05:11,missing_item,200000,approved
RFD00000003,OI000000017,2025-08-18 19:05:11,late_delivery,185000,approved
RFD00000004,OI000000018,2025-08-17 19:05:11,wrong_item,58000,approved
RFD00000005,OI000000019,2025-08-20 19:05:11,missing_item,102000,approved
RFD00000006,OI000000020,2025-08-15 19:05:11,fake_item,499800,approved
RFD00000007,OI000000084,2024-05-25 13:46:51,late_delivery,778000,approved
RFD00000008,OI000000111,2025-03-30 21:37:04,wrong_item,2252800,pending
RFD00000009,OI000000140,2024-07-08 08:01:18,not_as_described,86240,approved
RFD00000010,OI000000149,2026-02-17 11:56:43,late_delivery,458850,rejected
RFD00000011,OI000000176,2026-04-01 15:15:09,fake_item,243000,approved
RFD00000012,OI000000177,2026-03-31 00:40:24,wrong_item,7083200,pending
RFD00000013,OI000000178,2026-03-21 00:40:24,late_delivery,145040,rejected
RFD00000014,OI000000179,2026-04-02 00:40:24,missing_item,51000,approved
RFD00000015,OI000000180,2026-03-19 00:40:24,damaged_item,81340,approved
RFD00000016,OI000000181,2026-04-01 00:40:24,not_as_described,76800,approved
RFD00000017,OI000000182,2026-03-28 00:40:24,not_as_described,738170,approved
RFD00000018,OI000000197,2024-12-06 08:00:44,missing_item,33000,approved
RFD00000019,OI000000257,2024-06-25 22:17:22,late_delivery,120540,approved
RFD00000020,OI000000296,2024-07-20 20:33:20,damaged_item,285180,approved
RFD00000021,OI000000355,2024-10-30 19:14:55,late_delivery,115000,approved
RFD00000022,OI000000369,2025-12-07 20:41:08,missing_item,67000,pending
RFD00000023,OI000000379,2025-11-04 12:27:33,not_as_described,4320820,approved
RFD00000024,OI000000388,2026-03-04 18:56:32,damaged_item,324900,approved
RFD00000025,OI000000389,2026-02-24 18:56:32,late_delivery,6785520,approved
RFD00000026,OI000000501,2024-09-06 19:18:36,damaged_item,62080,approved
RFD00000027,OI000000502,2024-09-12 19:18:36,fake_item,31040,pending
RFD00000028,OI000000511,2025-04-27 01:28:35,not_as_described,352000,approved
RFD00000029,OI000000542,2025-09-28 22:30:47,late_delivery,1224000,approved
RFD00000030,OI000000544,2024-06-24 12:40:00,late_delivery,334000,rejected
RFD00000031,OI000000567,2025-07-11 13:02:59,damaged_item,420000,approved
RFD00000032,OI000000568,2025-07-06 13:02:59,damaged_item,467000,pending
RFD00000033,OI000000649,2025-02-12 13:25:09,damaged_item,158760,approved
RFD00000034,OI000000655,2026-02-21 19:02:27,fake_item,601000,approved
RFD00000035,OI000000751,2026-05-12 03:48:14,wrong_item,888000,approved
RFD00000036,OI000000752,2026-05-12 03:48:14,not_as_described,208000,approved
RFD00000037,OI000000753,2026-05-11 03:48:14,missing_item,75440,approved
RFD00000038,OI000000762,2025-01-11 13:07:27,not_as_described,128250,approved
RFD00000039,OI000000765,2026-03-19 18:55:12,fake_item,424800,approved
RFD00000040,OI000000766,2026-03-30 18:55:12,damaged_item,391000,rejected
