seller_id,shop_name,join_date,seller_tier,city,province,is_official_store,commission_rate
S00001,Indo Center 1,2024-09-22,Bronze,Bekasi,Jawa Barat,False,0.0518
S00002,Berkah Store 2,2025-02-14,Silver,Jakarta Timur,DKI Jakarta,True,0.052
S00003,Makmur Shop 3,2021-08-28,Bronze,Jakarta Selatan,DKI Jakarta,False,0.0493
S00004,Sinar Store 4,2026-04-30,Gold,Jakarta Pusat,DKI Jakarta,False,0.0613
S00005,Mega Collection 5,2026-04-23,Gold,Bandung,Jawa Barat,False,0.0555
S00006,Indo Fashion 6,2023-09-21,Bronze,Jakarta Pusat,DKI Jakarta,True,0.0458
S00007,Global Warehouse 7,2021-12-08,Gold,Bogor,Jawa Barat,False,0.0684
S00008,Makmur Fashion 8,2022-05-25,Gold,Depok,Jawa Barat,False,0.061
S00009,Cantik Collection 9,2024-05-11,Bronze,Bandung,Jawa Barat,False,0.0386
S00010,Berkah Store 10,2022-07-20,Bronze,Semarang,Jawa Tengah,False,0.0518
S00011,Murah House 11,2023-12-12,Bronze,Yogyakarta,DI Yogyakarta,False,0.0372
S00012,Mega Depot 12,2021-08-25,Gold,Yogyakarta,DI Yogyakarta,False,0.0557
S00013,Makmur Fashion 13,2024-08-01,Gold,Bekasi,Jawa Barat,False,0.0578
S00014,Sentosa Store 14,2025-12-10,Silver,Jakarta Selatan,DKI Jakarta,True,0.0527
S00015,Nusantara Fashion 15,2024-04-25,Bronze,Medan,Sumatera Utara,False,0.0468
S00016,Murah Supply 16,2026-04-21,Bronze,Jakarta Utara,DKI Jakarta,False,0.0486
S00017,Sinar Beauty 17,2023-02-23,New Seller,Medan,Sumatera Utara,False,0.0289
S00018,Sentosa Supply 18,2022-04-30,Gold,Jakarta Utara,DKI Jakarta,False,0.0642
S00019,Sinar Warehouse 19,2021-05-26,Bronze,Jakarta Barat,DKI Jakarta,False,0.0374
S00020,Mandiri Tech 20,2026-01-14,Silver,Bekasi,Jawa Barat,False,0.0578
S00021,Berkah Center 21,2024-02-20,Mall,Jakarta Timur,DKI Jakarta,True,0.0815
S00022,Jaya Depot 22,2025-08-26,Silver,Serang,Banten,False,0.0548
S00023,Official Shop 23,2023-08-22,Gold,Bandung,Jawa Barat,False,0.056
S00024,Digital Tech 24,2024-02-04,New Seller,Sidoarjo,Jawa Timur,False,0.0338
S00025,Indo Beauty 25,2023-01-23,New Seller,Jakarta Utara,DKI Jakarta,False,0.0294
S00026,Murah Center 26,2021-07-31,Bronze,Solo,Jawa Tengah,False,0.0436
S00027,Sentosa Warehouse 27,2023-05-10,Gold,Surabaya,Jawa Timur,False,0.0674
S00028,Nusantara Center 28,2022-08-23,Mall,Bekasi,Jawa Barat,True,0.0901
S00029,Cantik Gallery 29,2021-05-09,New Seller,Jakarta Barat,DKI Jakarta,True,0.036
S00030,Digital Collection 30,2022-09-11,Silver,Jakarta Pusat,DKI Jakarta,False,0.0627
S00031,Berkah Store 31,2025-03-18,Bronze,Jakarta Selatan,DKI Jakarta,False,0.0435
S00032,Prima Collection 32,2024-01-26,Bronze,Serang,Banten,False,0.0482
S00033,Mega Store 33,2023-03-18,Mall,Pekanbaru,Riau,True,0.089
S00034,Murah Depot 34,2022-02-10,Gold,Bandung,Jawa Barat,False,0.0611
S00035,Berkah Collection 35,2021-06-16,Gold,Tangerang Selatan,Banten,False,0.0556
S00036,Sinar Center 36,2025-05-22,Silver,Bogor,Jawa Barat,False,0.0612
S00037,Amanah House 37,2021-08-24,Bronze,Tangerang,Banten,False,0.0482
S00038,Sentosa Collection 38,2021-04-13,Bronze,Depok,Jawa Barat,False,0.0388
